placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
amenity,Polygon,city,MultiPolygon,"""It is located at the north end of the San Jacinto Valley, with Hemet to its south and Beaumont, California, to its north.""","San Jacinto , california","San Jacinto Valley, California",direction end of,disjoint,just direction of
city,Polygon,city,Polygon,"""Banning shares geographic and regional features with its western neighbor, the city of Beaumont.""","Banning, California","Beaumont, California",direction neighbor,touches,just direction of
city,Polygon,city,Polygon,"""Ontario is a city in southwestern San Bernardino County in the U.S. state of California, 35 miles (56 km) east of downtown Los Angeles and 23 miles (37 km) west of downtown San Bernardino, the county seat.""","Ontario, California","Los Angeles, California",direction of,disjoint,just direction of
city,MultiPolygon,island,Polygon,north of,"Racine,wisconsin","chicago,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,north of,"Port Washington,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,north of,"Kenosha,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,north of,"Kaukauna,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,north of,"Green Bay,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,north of,"Crandon,wisconsin","green bay,wisconsin",direction of,disjoint,just direction of
town,MultiPolygon,city,MultiPolygon,north of,"Cedarburg,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,northeast of,"Columbus,wisconsin","madison,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,north of,"Appleton,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,northwest from,"Mauston,wisconsin","madison ,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,northwest of,"Wisconsin Dells,wisconsin","madison ,wisconsin",direction of,disjoint,just direction of
town,Polygon,city,Polygon,"""Palm Desert is a city in Riverside County, California, United States, in the Coachella Valley, approximately 14 miles (23 km) east of Palm Springs, 121 miles (195 km) northeast of San Diego and 122 miles (196 km) east of Los Angeles.""","Palm Desert, California","Palm Springs, California",direction of,disjoint,just direction of
town,Polygon,city,Polygon,"""Walnut Creek is a city in Contra Costa County, California, United States, located in the East Bay region of the San Francisco Bay Area, about 16 miles (26 kilometers) east of the city of Oakland.""","Walnut Creek, California","Oakland, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.""","Redlands, California","Los Angeles, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""It lies 23 miles (37 km) east of Palm Springs, 75 miles (121 km) east of Riverside, 127 miles (204 km) east of Los Angeles, 148 miles (238 km) northeast of San Diego, and 250 miles (402 km) west of Phoenix.""","Indio, California","Los Angeles, California",direction of,disjoint,just direction of
town,Polygon,city,Polygon,"""Palm Desert is a city in Riverside County, California, United States, in the Coachella Valley, approximately 14 miles (23 km) east of Palm Springs, 121 miles (195 km) northeast of San Diego and 122 miles (196 km) east of Los Angeles.""","Palm Desert, California","Los Angeles, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""The city is about 46 miles east of Los Angeles.""","Fontana, California","Los Angeles, California",direction of,disjoint,just direction of
aeroway,Polygon,city,Polygon,"""The city lies in the San Gabriel Valley, east of the city of Los Angeles.""","San Gabriel Valley, California","Los Angeles, California",direction of,disjoint,just direction of
city,MultiPolygon,amenity,MultiPolygon,northwest of,"Hartford,wisconsin","downtown milwaukee ,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,located southwest of ,"Lake Geneva,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
village,Polygon,city,MultiPolygon,west of,"Omro,wisconsin","oshkosh ,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,amenity,Polygon,southwesternmost of,"Neenah,wisconsin","fox cities,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,southwest of,"Neenah,wisconsin","green bay,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,southwest of,"Elkhorn,wisconsin","milwaukee ,wisconsin",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,southwest of,"Delavan,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,southwest of,"Appleton,wisconsin","green bay,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,south of,"Racine,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,Polygon,protected_area,MultiPolygon,"""Rancho Cucamonga (/√Ä√•r‚àö¬∂nt¬†√âo¬†√§ ku√Ä√™k‚Ä¶√¥√Ä√†m¬†√•‚âà√£‚Ä¶¬∞‚Ä¶√¥/ RAN-choh KOO-k‚Ä¶√¥-MUNG-g‚Ä¶√¥) is a city located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County, California, United States.""","Rancho Cucamonga, California","Angeles National Forest, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""It lies 23 miles (37 km) east of Palm Springs, 75 miles (121 km) east of Riverside, 127 miles (204 km) east of Los Angeles, 148 miles (238 km) northeast of San Diego, and 250 miles (402 km) west of Phoenix.""","Indio, California","Palm Springs, California",direction of,disjoint,just direction of
town,Polygon,city,MultiPolygon,"""San Ramon (Spanish: San Ram√≥n, meaning ""St. Raymond"") is a city in Contra Costa County, California, United States, located within the San Ramon Valley, and 34 miles (55 km) east of San Francisco.""","San Ramon, California","San Francisco, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""Santa Ana, the county seat of Orange County, is east of Westminster.""","Santa Ana, California","Westminster, California",direction of,disjoint,just direction of
city,Polygon,protected_area,MultiPolygon,"""The city is a home to regional government offices, including the California Highway Patrol, California Department of Motor Vehicles, the United States Bureau of Reclamation and the main offices of the Mendocino National Forest, which comprises about one million acres (404,686 ha) of Federal land located mostly in mountainous terrain west of Willows.""","Willows, California","Mendocino National Forest, California",direction of,disjoint,just direction of
retail,Polygon,amenity,Polygon,"""The city is primarily residential, with a significant portion of its commercial activity located in 'The Village,' a popular collection of street-front small stores, boutiques, art galleries, offices, and restaurants adjacent to and west of the Claremont Colleges.""","The Village, California","the Claremont Colleges, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,west of,"Wauwatosa,wisconsin","milwaukee city,wisconsin",direction of,touches,just direction of
city,Polygon,city,MultiPolygon,"""The city is a major regional suburban East Bay center within the San Francisco Bay Area, and is 29 miles (47 kilometers) east of San Francisco.""","Concord, California","San Francisco, California",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,"""Mesquite is a suburban city located east of the city of Dallas, Texas, in the United States.""","Mesquite, Texas","Dallas, Texas",direction of,touches,just direction of
city,Polygon,city,Polygon,"""Manhattan Beach is a city in southwestern Los Angeles County, California, United States, on the Pacific coast south of El Segundo, west of Hawthorne and Redondo Beach, and north of Hermosa Beach.""","Manhattan Beach, California","Redondo Beach, California",direction of,touches,just direction of
town,Polygon,city,MultiPolygon,"""Lindsay is located southeast of Visalia and north of Porterville and is considered part of the Visalia-Porterville Metropolitan Area and the Porterville Urban Area by the United States Census Bureau.""","Lindsay, California","Visalia, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""Beginning in the 1960s, the rapid growth of Houston moved westward along the new Interstate 10 corridor, bringing Katy into its environs.""","Houston, Texas","Katy, Texas",direction of,disjoint,just direction of
city,Polygon,town,Polygon,"""A related city, La Habra, is located south of La Habra Heights and is in Orange County.""","La Habra, California","La Habra Heights, California",direction of,touches,just direction of
city,MultiPolygon,village,Polygon,east of,"Owen,wisconsin","withee ,wisconsin",direction of,touches,just direction of
town,Polygon,city,MultiPolygon,south of,"Oak Creek,wisconsin","milwaukee,wisconsin",direction of,touches,just direction of
city,Polygon,city,MultiPolygon,southwest of,"Verona,wisconsin","madison,wisconsin",direction of,touches,just direction of
city,Polygon,city,Polygon,"""Manhattan Beach is a city in southwestern Los Angeles County, California, United States, on the Pacific coast south of El Segundo, west of Hawthorne and Redondo Beach, and north of Hermosa Beach.""","Manhattan Beach, California","Hawthorne, California",direction of,touches,just direction of
city,Polygon,town,Polygon,"""Manhattan Beach is a city in southwestern Los Angeles County, California, United States, on the Pacific coast south of El Segundo, west of Hawthorne and Redondo Beach, and north of Hermosa Beach.""","Manhattan Beach, California","El Segundo, California",direction of,touches,just direction of
city,Polygon,city,Polygon,"""Manhattan Beach is a city in southwestern Los Angeles County, California, United States, on the Pacific coast south of El Segundo, west of Hawthorne and Redondo Beach, and north of Hermosa Beach.""","Manhattan Beach, California","Hermosa Beach, California",direction of,touches,just direction of
city,Polygon,city,MultiPolygon,"""Ceres is located in the San Joaquin Valley along State Route 99, south of Modesto and north of Turlock in Stanislaus County.""","Ceres, California","Modesto, California",direction of,overlaps,just direction of
city,Polygon,town,Polygon,"""Gilroy is a city in Northern California's Santa Clara County, south of Morgan Hill and north of San Benito County.""","Gilroy, California","Morgan Hill, California",direction of,disjoint,just direction of
residential,Polygon,city,Polygon,"""Located in the Ojai Valley, it is northwest of Los Angeles and east of Santa Barbara.""","Ojai Valley, California","Los Angeles, California",direction of,disjoint,just direction of
town,Polygon,city,MultiPolygon,"""Lindsay is located southeast of Visalia and north of Porterville and is considered part of the Visalia-Porterville Metropolitan Area and the Porterville Urban Area by the United States Census Bureau.""","Lindsay, California","Porterville, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""Fresno is near the geographic center of California, approximately 220 miles (350 km) north of Los Angeles, 170 miles (270 km) south of the state capital, Sacramento, and 185 miles (300 km) southeast of San Francisco.""","Fresno, California","Los Angeles, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""Carmel-by-the-Sea is located on the Pacific coast, about 300 miles (480 km) north of Los Angeles and 100 miles (160 km) south of San Francisco.""","Carmel-by-the-Sea, California","Los Angeles, California",direction of,disjoint,just direction of
city,MultiPolygon,city,MultiPolygon,"""Modesto is located in the Central Valley, 68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno.""","Modesto, California","Fresno, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""Calipatria is located 23 miles (37 km) north of El Centro.""","Calipatria, California","El Centro, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""Corning is a city in Tehama County, California, that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.""","Corning, California","Sacramento, California",direction of,disjoint,just direction of
city,Polygon,city,MultiPolygon,"""Sanger is located 13 miles (21 km) east-southeast of Fresno, at an elevation of 371 feet (113 m).""","Sanger, California","Fresno, California",direction of,disjoint,just direction of
city,Polygon,residential,Polygon,"""Situated along the coast of San Pablo Bay, it is located in the eastern region of the San Francisco Bay Area, about 10 miles (16 km) north of Berkeley, California.""","Berkeley, California","California, California",direction of,disjoint,just direction of
city,MultiPolygon,cemetery,Polygon,"""It is located in the San Joaquin Valley, 22 miles (35 km) east-southeast of Fresno, at an elevation of 348 feet (106 m).""","Fresno, California","San Joaquin Valley, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""Parlier is located 5.5 miles (9 km) east-northeast of Selma, at an elevation of 344 feet (105 m).""","Parlier, California","Selma, California",direction of,disjoint,just direction of
city,MultiPolygon,city,Polygon,"""Huron is located 15 miles (24 km) east-northeast of Coalinga, at an elevation of 374 feet (114 m).""","Huron, California","Coalinga, California",direction of,disjoint,just direction of
city,Polygon,county,Polygon,"""Gilroy is a city in Northern California's Santa Clara County, south of Morgan Hill and north of San Benito County.""","Gilroy, California","San Benito County, California",direction of,disjoint,just direction of
city,Polygon,city,Polygon,"""Ceres is located in the San Joaquin Valley along State Route 99, south of Modesto and north of Turlock in Stanislaus County.""","Ceres, California","Turlock, California",direction of,disjoint,just direction of
village,MultiPolygon,city,Polygon,"""Nevada City (originally, Ustumah, a Nisenan village; later, Nevada, Deer Creek Dry Diggins, and Caldwell's Upper Store) is the county seat of Nevada County, California, United States, 60 miles (97 km) northeast of Sacramento, 84 miles (135 km) southwest of Reno and 147 miles (237 km) northeast of San Francisco.""","Nevada City, California","Sacramento, California",direction of,disjoint,just direction of
town,MultiPolygon,city,MultiPolygon,"""Tehachapi is 35 miles (56 km) east-southeast of Bakersfield, and 20 miles (32 km) west of Mojave.""","Tehachapi, California","Bakersfield, California",direction of,disjoint,just direction of
city,Polygon,suburb,Polygon,"""South Los Angeles, also known as South Central Los Angeles or simply South Central, is a region in southern Los Angeles County, lying mostly within the city limits of Los Angeles, south of downtown.""","Los Angeles, California","downtown, California",direction of,disjoint,just direction of
city,Polygon,water,Polygon,"""East Tawakoni is located on the east side of Lake Tawakoni, while its twin city West Tawakoni is located on the west side of the lake.""","East Tawakoni, Texas","Lake Tawakoni, Texas",direction side,overlaps,just direction of
village,MultiPolygon,water,LineString,directly across,"Hurley,wisconsin",Montreal River,directly across,touches,just direction of
city,Polygon,military,MultiPolygon,"""Killeen is directly adjacent to the main cantonment of Fort Hood.""","Killeen, Texas","Fort Hood, Texas",directly adjacent to,overlaps,is adjacent to
city,Polygon,city,Polygon,"""Despite being called 'East' Palo Alto, the city is directly north of Palo Alto.""","East Palo Alto, California","Palo Alto, California",directly direction of,touches,is directly direction of
city,Polygon,city,MultiPolygon,"""Cupertino (/ÀåkuÀêp…ôrÀàtiÀêno ä/ KOOP-…ôr-TEEN-oh) is a city in Santa Clara County, California, United States, directly west of San Jose on the western edge of the Santa Clara Valley with portions extending into the foothills of the Santa Cruz Mountains.""","Cupertino, California","San Jose, California",directly direction of,touches,is directly direction of
city,Polygon,village,Polygon,directly north of,"Hudson,wisconsin","north hudson ,wisconsin",directly direction of,touches,is directly direction of
town,Polygon,city,Polygon,"""It is 100 miles (160 km) north of the city of Los Angeles, and the population was 14,973 at the 2020 census.""","California City, California","Los Angeles, California",distance,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Sitting approximately 35 miles (56 km) from Sacramento and 55 miles (89 km) from San Francisco, it is within the Sacramento Valley.""","Vacaville, California","Sacramento, California",distance,disjoint,has some distance from
city,MultiPolygon,recreation_ground,Polygon,15 miles (24 km) from,"Chippewa Falls,wisconsin","rock fest ,wisconsin",distance,disjoint,has some distance from
town,Polygon,administrative,Polygon,"""Clearlake is 4.5 miles (7.2 km) north-northwest of Lower Lake, at an elevation of 1,417 feet (432 m).""","Clearlake, California","Lower Lake, California",distance,touches,has some distance from
city,MultiPolygon,recreation_ground,Polygon,15 miles (24 km) from,"Chippewa Falls,wisconsin","country fest,wisconsin",distance,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""It lies 23 miles (37 km) east of Palm Springs, 75 miles (121 km) east of Riverside, 127 miles (204 km) east of Los Angeles, 148 miles (238 km) northeast of San Diego, and 250 miles (402 km) west of Phoenix.""","Indio, California","San Diego, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Palm Desert is a city in Riverside County, California, United States, in the Coachella Valley, approximately 14 miles (23 km) east of Palm Springs, 121 miles (195 km) northeast of San Diego and 122 miles (196 km) east of Los Angeles.""","Palm Desert, California","San Diego, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""American Canyon (previously known as Napa Junction) is a city located in southern Napa County, California, 35 miles (56 km) northeast of San Francisco, part of the San Francisco Bay Area.""","American Canyon, California","San Francisco, California",distance from,disjoint,has some distance from
village,MultiPolygon,city,MultiPolygon,"""Nevada City (originally, Ustumah, a Nisenan village; later, Nevada, Deer Creek Dry Diggins, and Caldwell's Upper Store) is the county seat of Nevada County, California, United States, 60 miles (97 km) northeast of Sacramento, 84 miles (135 km) southwest of Reno and 147 miles (237 km) northeast of San Francisco.""","Nevada City, California","San Francisco, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""It is approximately 65 miles (105 km) northwest of Santa Barbara and 150 miles (240 km) northwest of downtown Los Angeles.""","Santa Barbara, California","Santa Maria, California",distance from,disjoint,has some distance from
city,Polygon,retail,Polygon,"""It is about 12 miles (20 km) northwest of downtown Santa Ana, the county seat, and is within the Los Angeles metropolitan area.""","Buena Park, California","downtown Santa Ana, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Blue Lake is located on the Mad River in a deep valley, 16 miles (26 km) northeast of Eureka, at an elevation of 131 feet (40 m).""","Blue Lake, California","Eureka, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""This city is 125 miles (201 km) northwest of Sacramento.""","Sacramento, California","Lakeport, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Wasco is located 24 miles (39 km) northwest of Bakersfield, at an elevation of 328 feet (100 m).""","Wasco, California","Bakersfield, California",distance from,disjoint,has some distance from
city,MultiPolygon,tourism,Polygon,"""Clovis is located 6.5 miles (10.5 km) northeast of downtown Fresno, at an elevation of 361 feet (110 m).""","Clovis, California","downtown Fresno, California",distance from,disjoint,has some distance from
town,Polygon,city,Polygon,"""Rialto is a city in San Bernardino County, California, United States, 56 miles east of Los Angeles, near the Cajon Pass, Interstate 15, Interstate 10, State Route 210 and Metrolink routes.""","Rialto, California","Los Angeles, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Mill Valley is a city in Marin County, California, United States, located about 14 miles (23 km) north of San Francisco via the Golden Gate Bridge and 52 miles (84 km) from Napa Valley.""","Mill Valley, California","San Francisco, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Rohnert Park is a city in Sonoma County, California, United States, located approximately 50 miles (80 km) north of San Francisco.""","Rohnert Park, California","San Francisco, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Redding lies along the Sacramento River, 162 miles (261 km) north of Sacramento, and 120 miles (190 km) south of California's northern border with Oregon.""","Redding, California","Sacramento, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""It is located 131 miles (211 kilometers) north of Sacramento, 31 miles (50 km) south of Redding, and it is bisected by Interstate 5.""","Red Bluff, California","Sacramento, California",distance from,disjoint,has some distance from
village,Polygon,city,Polygon,"""Gridley is a city in Butte County, California, United States, 29 miles (47 kilometers) south of Chico, California and 56 miles (90 kilometers) north of Sacramento, California.""","Gridley, California","Sacramento, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Located 138 miles north of Sacramento, the city's roots are as a railroad town near the northern tip of the Central Valley of California.""","Anderson, California","Sacramento, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Holtville is located 10.5 miles (17 km) east of El Centro.""","Holtville, California","El Centro, California",distance from,disjoint,has some distance from
town,Polygon,neighbourhood,Polygon,"""La Mesa (Spanish for 'The Table') is a city in San Diego County, located nine miles (14 kilometers) east of Downtown San Diego in Southern California.""","La Mesa, California","Downtown San Diego, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler, the two nearest metropolitan areas, and is part of the greater Tyler/Longview area.""","Grand Saline, Texas","Dallas, Texas",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Union City is a city in the San Francisco Bay Area in Alameda County, California, United States, located approximately 19 miles (31 km) south of Oakland, 30 miles (48 km) from San Francisco, and 20 miles (32 km) north of San Jose.""","Union City, California","San Jose, California",distance from,disjoint,has some distance from
village,Polygon,city,Polygon,"""Gridley is a city in Butte County, California, United States, 29 miles (47 kilometers) south of Chico, California and 56 miles (90 kilometers) north of Sacramento, California.""","Gridley, California","Chico, California",distance from,disjoint,has some distance from
county,Polygon,city,Polygon,"""Victoria is a two-hour drive from Corpus Christi, Houston, San Antonio, and Austin.""","Victoria, Texas","Corpus Christi , Texas",distance from,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""Visalia is 36 mi (58 km) west of Sequoia National Park, and 43 mi (69 km) south of Fresno.""","Visalia, California","Fresno, California",distance from,disjoint,has some distance from
city,Polygon,neighbourhood,Polygon,"""El Cajon (/…õl k…ôÀàho än/ el k…ô-HOHN, American Spanish: [el kaÀàxon]; Spanish: El Caj√≥n, meaning ""the box"") is a city in San Diego County, California, United States, 17 mi (27 km) east of Downtown San Diego.""","El Cajon, California","Downtown San Diego, California",distance from,disjoint,has some distance from
office,Polygon,city,Polygon,"""It is in the Palo Verde Valley of the Lower Colorado River Valley region, an agricultural area and part of the Colorado Desert along the Colorado River, approximately 224 miles (360 km) east of Los Angeles and 150 miles (240 km) west of Phoenix.""","Palo Verde Valley, California","Los Angeles, California",distance from,disjoint,has some distance from
city,Polygon,neighbourhood,Polygon,"""The city of Temecula, forming the southwestern anchor of the Inland Empire region, is approximately 58 miles (93 km) north of downtown San Diego and 85 miles (137 km) southeast of downtown Los Angeles.""","Temecula, California","downtown San Diego, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Located within Southern California, it is approximately 25 miles (40 km) north of San Diego, between Solana Beach and Carlsbad, and about 95 miles (153 km) south of Los Angeles.""","San Diego, California","Los Angeles, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Sausalito (Spanish for ""small willow grove"") is a city in Marin County, California, United States, located 1.5 miles (2.4 kilometers) southeast of Marin City, 8 miles (13 km) south-southeast of San Rafael, and about 4 miles (6 km) north of San Francisco from the Golden Gate Bridge.""","Sausalito, California","San Francisco, California",distance from,disjoint,has some distance from
city,Polygon,aeroway,Polygon,"""Trinidad (Spanish for ""Trinity""; Yurok: Chuerey) is a seaside city in Humboldt County, located on the Pacific Ocean 8 miles (13 km) north of the Arcata-Eureka Airport and 15 miles (24 km) north of the college town of Arcata.""","Trinidad, California","Arcata-Eureka Airport, California",distance from,disjoint,has some distance from
town,Polygon,city,Polygon,"""Sausalito (Spanish for ""small willow grove"") is a city in Marin County, California, United States, located 1.5 miles (2.4 kilometers) southeast of Marin City, 8 miles (13 km) south-southeast of San Rafael, and about 4 miles (6 km) north of San Francisco from the Golden Gate Bridge.""","Sausalito, California","San Rafael, California",distance from,disjoint,has some distance from
amenity,Polygon,city,MultiPolygon,"""It lies in the Salinas Valley, 33 miles (53 km) southeast of Salinas, at an elevation of 289 feet (88 m).""","Salinas Valley, California","Salinas, California",distance from,disjoint,has some distance from
office,Polygon,building,Polygon,"""It is in the Palo Verde Valley of the Lower Colorado River Valley region, an agricultural area and part of the Colorado Desert along the Colorado River, approximately 224 miles (360 km) east of Los Angeles and 150 miles (240 km) west of Phoenix.""","Palo Verde Valley, California","Phoenix, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""It is located 18 miles (29 km) west-northwest of Bakersfield.""","Bakersfield, California","Shafter, California",distance from,disjoint,has some distance from
city,Polygon,county,Polygon,"""Atwater is 8 miles (13 km) west-northwest of Merced, at an elevation of 151 feet (46 m).""","Atwater, California","Merced, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Simonton is located at the intersection of Farm roads 1093 and 1489, approximately fourteen miles northwest of Richmond, Texas and five miles west of Fulshear, Texas.""","Simonton, Texas","Fulshear, Texas",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""McFarland is located 25 miles (40 km) north-northwest of Bakersfield and 6.5 miles (10 km) south of Delano, at an elevation of 354 feet (108 m).""","McFarland, California","Bakersfield, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Dixon is a city in northern Solano County, California, United States, located 23 miles (37 km) from the state capital, Sacramento.""","Dixon, California","Sacramento, California",distance from,disjoint,has some distance from
city,Polygon,neighbourhood,Polygon,"""The city is 6 miles from downtown Fort Worth, 30 miles from the American Airlines Center in Dallas, and 20 miles from the Dallas/Fort Worth International Airport in Irving.""","Haltom City, Texas","downtown Fort Worth, Texas",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""The town draws its name from its location on the far western edge of the East Texas timberline on U.S. Highway 80, approximately 60 miles east of Dallas.""","Edgewood, Texas","Dallas, Texas",distance from,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""Downtown San Antonio and Downtown Austin are approximately 80 miles (130 km) apart, both falling along the Interstate 35 corridor.""","San Antonio, Texas","Austin, Texas",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""The city of DeCordova shares its eastern region with Lake Granbury, situated 6 miles east-southeast of Granbury, Texas.""","DeCordova, Texas","Granbury, Texas",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Its location is approximately 30 miles from Dallas and 20 miles from Fort Worth, and is adjacent to Arlington.""","Mansfield, Texas","Fort Worth, Texas",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Its location is approximately 30 miles from Dallas and 20 miles from Fort Worth, and is adjacent to Arlington.""","Mansfield, Texas","Dallas, Texas",distance from,disjoint,has some distance from
town,MultiPolygon,city,MultiPolygon,"""Celina is part of the Dallas‚ÄìFort Worth metroplex and is nestled between the major arteries of Texas State Highway 289 (Preston Road) to the east and the future Dallas North Tollway to the west; Celina is approximately 40 miles north of Dallas.""","Celina, Texas","Dallas, Texas",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Simonton is located at the intersection of Farm roads 1093 and 1489, approximately fourteen miles northwest of Richmond, Texas and five miles west of Fulshear, Texas.""","Simonton, Texas","Richmond, Texas",distance from,disjoint,has some distance from
city,MultiPolygon,county,Polygon,"""It is located about 40 miles west of Tyler.""","Canton, Texas","Tyler, Texas",distance from,disjoint,has some distance from
city,Polygon,county,Polygon,"""Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler, the two nearest metropolitan areas, and is part of the greater Tyler/Longview area.""","Grand Saline, Texas","Tyler, Texas",distance from,disjoint,has some distance from
town,Polygon,neighbourhood,Polygon,"""It is in the South Bay area of San Diego County, 14.1 miles (22.7 km) south of downtown San Diego and 5 miles (8 km) northwest of downtown Tijuana, Mexico.""","Imperial Beach, California","downtown San Diego, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""It is located 131 miles (211 kilometers) north of Sacramento, 31 miles (50 km) south of Redding, and it is bisected by Interstate 5.""","Red Bluff, California","Redding, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Westmorland is located 8.5 miles (14 km) southwest of Calipatria.""","Westmorland, California","Calipatria, California",distance from,disjoint,has some distance from
town,Polygon,town,Polygon,"""Mendota is located 8.5 miles (14 km) south-southeast of Firebaugh, at an elevation of 174 feet (53 m).""","Mendota, California","Firebaugh, California",distance from,disjoint,has some distance from
city,Polygon,village,Polygon,"""Maricopa is located 6.5 miles (10 km) south-southeast of Taft, at an elevation of 883 feet (269 m).""","Maricopa, California","Taft, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Arvin is located 15 miles (24 km) southeast of Bakersfield, at an elevation of 449 feet (137 m).""","Arvin, California","Bakersfield, California",distance from,disjoint,has some distance from
